"Name","Alerts","WWN","NSID","NGUID","Logical Used","Provisioned","Host Mappings","Storage Protocol","Protection Policy","Performance Policy","Volume Group"
"PST2_MES_FRA-005","","naa.68ccf098008336e13a5f6b83bd36507b","47","nguid.8336e13a5f6b83bd8ccf09680036507b","400.0 GB","600.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_FRA-003","","naa.68ccf09800698cf2747f6f84e85a92de","48","nguid.698cf2747f6f84e88ccf0968005a92de","400.1 GB","600.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_OCR-003","","naa.68ccf09800656a5cd51a524e436c17bc","49","nguid.656a5cd51a524e438ccf0968006c17bc","66.8 MB","5.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_OCR-005","","naa.68ccf0980033c795eaf2a8cc90592c17","50","nguid.33c795eaf2a8cc908ccf096800592c17","64.9 MB","5.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_OCR-004","","naa.68ccf098002310b69933d3496b48489f","51","nguid.2310b69933d3496b8ccf09680048489f","67.1 MB","5.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_OCR-002","","naa.68ccf09800ce00db7507d0fd1aa5f290","52","nguid.ce00db7507d0fd1a8ccf096800a5f290","62.5 MB","5.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_OCR-001","","naa.68ccf09800dbc21f7c5a8732a20893b9","53","nguid.dbc21f7c5a8732a28ccf0968000893b9","65.3 MB","5.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_Vol_AMDEPYC7702-001","","naa.68ccf09800d857794f2749d667cbfd37","54","nguid.d857794f2749d6678ccf096800cbfd37","10.3 TB","20.0 TB","1","SCSI","","Medium","Pst2VolAMDEPYC7702Group"
"PST2_Vol_AMDEPYC7702-003","","naa.68ccf09800df54d012ff6d674c27bc83","55","nguid.df54d012ff6d674c8ccf09680027bc83","7.3 TB","20.0 TB","1","SCSI","","Medium","Pst2VolAMDEPYC7702Group"
"PST2_Vol_AMDEPYC7702-002","","naa.68ccf09800e3e62a58ffc4136bf4bfbe","56","nguid.e3e62a58ffc4136b8ccf096800f4bfbe","10.6 TB","20.0 TB","1","SCSI","","Medium","Pst2VolAMDEPYC7702Group"
"PST2_Vol_Gold6326-004","","naa.68ccf0980032b481e98faaddcbbe221e","57","nguid.32b481e98faaddcb8ccf096800be221e","6.0 TB","15.0 TB","1","SCSI","","Medium","Pst2VolGold6326Group"
"PST2_Vol_Gold6326-005","","naa.68ccf09800c12a9fe84622d49d553f4c","58","nguid.c12a9fe84622d49d8ccf096800553f4c","5.5 TB","15.0 TB","1","SCSI","","Medium","Pst2VolGold6326Group"
"PST2_Vol_Gold6326-001","","naa.68ccf098003784c826c7933ee0f91521","59","nguid.3784c826c7933ee08ccf096800f91521","2.5 TB","15.0 TB","1","SCSI","","Medium","Pst2VolGold6326Group"
"PST2_Vol_Gold6326-003","","naa.68ccf0980001e5a4c0fffe06b3c37b7b","60","nguid.01e5a4c0fffe06b38ccf096800c37b7b","3.4 TB","15.0 TB","1","SCSI","","Medium","Pst2VolGold6326Group"
"PST2_Vol_Gold6326-002","","naa.68ccf09800e7a1414fa672e2bcf27c13","61","nguid.e7a1414fa672e2bc8ccf096800f27c13","8.1 TB","15.0 TB","1","SCSI","","Medium","Pst2VolGold6326Group"
"PST2_Vol_Silver4210-002","","naa.68ccf098006d2eba76fd77a8ae63d9fe","62","nguid.6d2eba76fd77a8ae8ccf09680063d9fe","358.0 GB","10.0 TB","1","SCSI","","Medium","Pst2VolSilver4210Group"
"PST2_Vol_Silver4210-001","","naa.68ccf09800b6cc4ee7670a63adc787cc","63","nguid.b6cc4ee7670a63ad8ccf096800c787cc","3.8 TB","10.0 TB","1","SCSI","","Medium","Pst2VolSilver4210Group"
"test_metronode_data-001","","naa.68ccf09800d8f5ded05b3eb56fd4a83a","64","nguid.d8f5ded05b3eb56f8ccf096800d4a83a","1.9 GB","500.0 GB","1","SCSI","","Medium","testrac_metronode"
"test_metronode_data-002","","naa.68ccf09800038856fcca00f3f3d44062","65","nguid.038856fcca00f3f38ccf096800d44062","1.9 GB","500.0 GB","1","SCSI","","Medium","testrac_metronode"
"test_metronode_data-003","","naa.68ccf09800b28cb38043145b3911d5d5","66","nguid.b28cb38043145b398ccf09680011d5d5","1.9 GB","500.0 GB","1","SCSI","","Medium","testrac_metronode"
"test_metronode_data-004","","naa.68ccf09800b2cc47b8b973a35ed59ed6","67","nguid.b2cc47b8b973a35e8ccf096800d59ed6","1.9 GB","500.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-fra-003","","naa.68ccf098001f4ccdedfac4fc122a778c","68","nguid.1f4ccdedfac4fc128ccf0968002a778c","96.3 MB","600.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-fra-001","","naa.68ccf09800ecb7eee659dfd434ecb5f4","69","nguid.ecb7eee659dfd4348ccf096800ecb5f4","116.3 MB","600.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-fra-004","","naa.68ccf09800943044ad7a15a6a4bda541","70","nguid.943044ad7a15a6a48ccf096800bda541","92.0 MB","600.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-fra-005","","naa.68ccf09800a15f9db84259c2f21ee4a9","71","nguid.a15f9db84259c2f28ccf0968001ee4a9","112.0 MB","600.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-fra-002","","naa.68ccf09800c97d3dbc42496a1b430c15","72","nguid.c97d3dbc42496a1b8ccf096800430c15","108.3 MB","600.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-ocr-001","","naa.68ccf0980053c02371df354571d4ef93","73","nguid.53c02371df3545718ccf096800d4ef93","119.8 MB","5.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-ocr-002","","naa.68ccf09800283a4f0efb8e00887dd269","74","nguid.283a4f0efb8e00888ccf0968007dd269","104.0 MB","5.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-ocr-005","","naa.68ccf09800f5ea379b4064bf245ff48c","75","nguid.f5ea379b4064bf248ccf0968005ff48c","117.4 MB","5.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-ocr-003","","naa.68ccf098006a1b62551081b73136a4c9","76","nguid.6a1b62551081b7318ccf09680036a4c9","116.0 MB","5.0 GB","1","SCSI","","Medium","testrac_metronode"
"test-metronode-ocr-004","","naa.68ccf098004681f325715fc615b6ecbb","77","nguid.4681f325715fc6158ccf096800b6ecbb","97.1 MB","5.0 GB","1","SCSI","","Medium","testrac_metronode"
"Local_MesDG_Data","","naa.68ccf09800e0d832a2660548cd82b928","78","nguid.e0d832a2660548cd8ccf09680082b928","168.0 KB","15.0 TB","1","SCSI","","Medium","MesDGGroup"
"Local_MesDG_Archive","","naa.68ccf0980053f9f7c647e4122eae3844","79","nguid.53f9f7c647e4122e8ccf096800ae3844","2.0 TB","2.0 TB","1","SCSI","","Medium","MesDGGroup"
"PST2_huxiaokai-test","","naa.68ccf098007fc84eb52b953acd3b5d44","80","nguid.7fc84eb52b953acd8ccf0968003b5d44","0 GB","33.0 GB","1","SCSI","","Medium",""
"Local_MesDG_Data01","","naa.68ccf09800a18a734c49081d7c1f0964","81","nguid.a18a734c49081d7c8ccf0968001f0964","6.5 TB","16.0 TB","1","SCSI","","Medium",""
"PST2_CIM_DATA-007","","naa.68ccf098009d480ec7907b5c00cc9762","82","nguid.9d480ec7907b5c008ccf096800cc9762","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-005","","naa.68ccf09800365912246d12e46f929302","83","nguid.365912246d12e46f8ccf096800929302","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-004","","naa.68ccf0980078eda46c7a6678b1b789f8","84","nguid.78eda46c7a6678b18ccf096800b789f8","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-003","","naa.68ccf09800d560d4c0ee8122898f056f","85","nguid.d560d4c0ee8122898ccf0968008f056f","0 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-006","","naa.68ccf09800b67c88e4863fe50818453a","86","nguid.b67c88e4863fe5088ccf09680018453a","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-008","","naa.68ccf0980015c856c2b3567ad5189624","87","nguid.15c856c2b3567ad58ccf096800189624","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-009","","naa.68ccf09800c875ec19f6c4ce1d5e855c","88","nguid.c875ec19f6c4ce1d8ccf0968005e855c","194.3 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-010","","naa.68ccf0980078d84559d1ab3626043e86","89","nguid.78d84559d1ab36268ccf096800043e86","194.3 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-011","","naa.68ccf0980089f1c6205d3cd160d7d679","90","nguid.89f1c6205d3cd1608ccf096800d7d679","194.3 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-012","","naa.68ccf09800483270f74439bbcd967a0c","91","nguid.483270f74439bbcd8ccf096800967a0c","194.3 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
