"Name","Alerts","WWN","Node Affinity","Logical Used","Provisioned","Host Mappings","Storage Protocol","Protection Policy","Performance Policy","Volume Group"
"InfraRAC_OCR003","","naa.68ccf09800d6d9cdfdf8e871937f60de","System select Node A","112.0 MB","5.0 GB","1","SCSI","","Medium",""
"InfraRAC_OCR004","","naa.68ccf09800bfdeeee48b1727923c69b9","System select Node B","112.0 MB","5.0 GB","1","SCSI","","Medium",""
"InfraRAC_DATA002","","naa.68ccf098009d93d9932584d0613baef3","System select Node B","110.2 MB","500.0 GB","1","SCSI","","Medium",""
"InfraRAC_DATA010","","naa.68ccf0980008f13bc38c9455aee60fab","System select Node A","108.2 MB","500.0 GB","1","SCSI","","Medium",""
"test-metronode-fra-002","","naa.68ccf0980057c0483d12aef7d9911113","System select Node A","108.0 MB","600.0 GB","1","SCSI","","Medium","ractest-metronode"
"InfraRAC_DATA004","","naa.68ccf09800c675ccab1b261a4d54da60","System select Node A","106.2 MB","500.0 GB","1","SCSI","","Medium",""
"InfraRAC_DATA007","","naa.68ccf0980087c9c52045313328464f90","System select Node B","106.2 MB","500.0 GB","1","SCSI","","Medium",""
"InfraRAC_OCR005","","naa.68ccf09800a8733f9c45d400342df663","System select Node A","106.0 MB","5.0 GB","1","SCSI","","Medium",""
"test-fra-002","","naa.68ccf09800edfb11fbeeb18e7c58e958","System select at attach","104.0 MB","600.0 GB","0","None","","Medium","ractest"
"InfraRAC_FRA005","","naa.68ccf098000656481d507797dca557e5","System select Node B","103.8 MB","600.0 GB","1","SCSI","","Medium",""
"InfraRAC_OCR002","","naa.68ccf09800fa092bb73516b1e71b8997","System select Node B","98.0 MB","5.0 GB","1","SCSI","","Medium",""
"test-metronode-fra-003","","naa.68ccf09800698ec7094bab20158d994d","System select Node A","96.0 MB","600.0 GB","1","SCSI","","Medium","ractest-metronode"
"test-metronode-fra-004","","naa.68ccf0980063ff81a7d324db0920012d","System select Node B","92.0 MB","600.0 GB","1","SCSI","","Medium","ractest-metronode"
"PST1_MES_OCR-004","","naa.68ccf098000a0cba4eb5c94e4c5dceea","System select Node A","88.0 MB","5.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_OCR-001","","naa.68ccf09800b5ffb15335a566c6cd2511","System select Node B","87.2 MB","5.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_OCR-003","","naa.68ccf0980024255d6b7614703212141c","System select Node A","87.1 MB","5.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"RAC_OCR02","","naa.68ccf09800d84649dbb2f94c78230302","System select at attach","86.2 MB","5.0 GB","0","None","","Medium",""
"PST1_MES_OCR-005","","naa.68ccf09800fca83092a41eef5ead7301","System select Node A","85.1 MB","5.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"RAC_OCR01","","naa.68ccf0980015547d019283d66acf36d2","System select at attach","85.1 MB","5.0 GB","0","None","","Medium",""
"PST1_MES_OCR-002","","naa.68ccf09800a07118775d7602fc655d35","System select Node A","83.9 MB","5.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"RAC_OCR05","","naa.68ccf098000314b2e42f1f5412687ef6","System select at attach","83.4 MB","5.0 GB","0","None","","Medium",""
"RAC_OCR04","","naa.68ccf0980080302c121c73c1c81c21dd","System select at attach","83.1 MB","5.0 GB","0","None","","Medium",""
"RAC_OCR03","","naa.68ccf098009eb9ab4741f373c851154a","System select at attach","82.1 MB","5.0 GB","0","None","","Medium",""
"test20240315","","naa.68ccf098005cefb71d6e4e6c6fdde501","System select Node B","35.5 MB","66.0 GB","1","SCSI","","Medium",""
"MESDB_DG02","","naa.68ccf09800ce1b1957141af3e6ca30c2","System select at attach","188.0 KB","2.0 TB","0","None","","Medium",""
"PST1_huxiaokai-test","","naa.68ccf0980002139227882c87573d9a2c","System select Node A","0 GB","33.0 GB","1","SCSI","","Medium",""
"PST1_CIM_DATA-003","","naa.68ccf098004980fe71d7c98b8b7121c3","System select Node B","0 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"test","","naa.68ccf098003e39f9c18559facc012f73","System select Node B","0 GB","100.0 GB","1","SCSI","","Medium",""
"test-huxiaokai","","naa.68ccf0980070770e622253f9639691b9","System select Node A","0 GB","130.0 GB","2","SCSI","","Medium",""
